,company_id,carbon_emissions,renewable_energy_ratio,waste_management_score,water_usage_intensity,biodiversity_score,excluded_sector,employee_satisfaction,diversity_index,turnover_rate,philanthropy_spend,supply_chain_ethics_score,data_privacy_compliance,independent_board_ratio,executive_pay_ratio,proxy_voting_score,risk_mgmt_score,audit_transparency,governance_framework_score,financial_return,roe,profit_margin,esg_score
0,1,114.90142459033697,0.37651046538023336,90.83536544444142,25.38006220173122,47.66472004436847,0,3.033359969024948,0.12771463498961272,15.940427203840683,2.554609392293502,77.2806686765319,1,0.6110149597811603,56.5140090371563,60.09854302631011,94.01070328237232,1,73.24283624822547,-0.4589401527779785,7.197659787914279,6.776656597317951,-0.2758155109068126
1,2,95.85207096486447,0.33888090666962906,66.49731313622652,53.33387300220424,18.407450948896482,0,2.1245719019162093,0.1506685818520819,9.60333111252309,1.5991933016577522,72.1492425709425,1,0.5978248847837125,53.84244529479237,64.66268258272913,68.79113128287226,1,71.30439558655502,1.818965904569228,11.071806598273279,8.295186357845598,-1.142540183085199
2,3,119.43065614302077,0.3348569220323233,109.57262884930898,45.81873956823205,38.17397106606924,0,4.308423799844776,0.1244978959151451,7.061486561722065,1.0322847864585307,68.51658815856005,1,0.4802672277300135,40.21550893258156,34.655468183294516,73.50999591769725,1,65.65926120964373,10.316291201087964,10.093250619951187,9.921711836850537,-0.2649276017594081
3,4,145.69089569224076,0.4399464109094162,67.5836443410749,36.80509929427331,61.94145122022717,1,3.422626964759248,0.6868485781383027,-8.095605783819373,2.362775308500398,73.24868244360657,1,0.842804062519042,42.02157885705072,51.345220986793535,75.5396892568194,1,67.76552724060632,8.455964399142584,3.4710218176243153,6.516418343786269,0.17539474601698185
4,5,92.97539875829992,0.497787642697174,49.38442893557128,45.42873348103671,27.27100122678591,0,3.995310520239893,0.6803462472667692,7.27265645911884,1.74421728191257,81.72167582252348,1,0.35429177510973164,37.37416598005117,76.1648094435808,73.37621530503861,1,63.48181284883667,8.781769308343849,15.412758318314962,11.019679573153317,0.2598479474628623
5,6,92.97589129152459,0.20598588339659363,74.22878182189469,40.74861306250029,25.15641860543013,0,1.8860481463570489,0.46239349580024514,10.139327293293258,1.607516224714858,83.2751421473121,1,0.8218944053322188,64.64999742839929,58.99688543932727,69.73318866161587,1,71.15876742553284,9.12754233524741,6.658840337761337,3.653794622953974,-0.4434081865386931
6,7,147.37638446522175,0.40813906184891696,67.40894762249494,53.18617926219474,43.50232756016523,0,4.662694332898436,0.7414114083123116,11.704800842046566,0.7875869419373777,72.8243631374413,1,0.5260231214495537,22.218451182132167,43.1268254191313,60.09425011791792,1,52.461145932412116,8.026540186904558,8.794900552977463,9.209661283404222,-0.2513422140369917
7,8,123.02304187458726,0.47038898695571607,75.50643762600791,20.702197681949734,62.45864539623928,0,2.690511849358985,0.4065337122249061,10.645943635986159,1.7546389347094813,78.3178803170961,1,0.8283741095850135,30.776998287897225,49.73687137763863,68.88190717664226,1,73.15461532272414,7.711318925327022,11.596410597672422,9.87638464098897,0.17927454571885057
8,9,85.91576842195144,0.25819314871414745,67.99603310008345,36.028090334865674,86.20655181445392,0,5.278938722421368,0.4399490823415837,26.004384738046955,1.0206986919563525,61.69707643685263,1,0.7372568749994302,56.27963476145459,49.61576295921422,51.34114252021418,0,69.01328066612918,12.162965269254821,10.291821899266393,9.20044213534399,1.20969482030801
9,10,116.27680130757894,0.4151180170619966,103.23316924307147,55.990545154786886,63.178707097073676,0,4.983468271060265,0.39627127276891294,14.456825686163159,1.7180094592403001,73.15730526953892,1,0.362502435997223,58.14762784649072,59.416155687298605,74.87558005165364,1,78.41432416772724,6.445259534784578,13.848406869590939,8.664634133032656,0.41038799080908134
